"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"Essex","East of England","2014-06-01","Jun",2014,"Q2_2014",0,66,13,2,2,17,1,12,4,13,10,30,10
"Gloucestershire","South West","2014-06-01","Jun",2014,"Q2_2014",0,16,0,2,0,9,0,2,1,4,5,2,14
"GreaterManchester","North West","2014-06-01","Jun",2014,"Q2_2014",0,162,33,8,2,34,7,27,21,38,43,60,34
"Gwent","Cymru/Wales","2014-06-01","Jun",2014,"Q2_2014",1,19,2,8,1,5,1,7,1,6,8,6,4
"Hampshire","Oxfordshire","2014-06-01","Jun",2014,"Q2_2014",0,108,17,4,1,24,3,20,15,14,13,38,15
"Hertfordshire","Thames and Chiltern","2014-06-01","Jun",2014,"Q2_2014",0,42,8,6,3,23,7,4,4,13,2,33,8
"Humberside","Yorkshire and Humberside","2014-06-01","Jun",2014,"Q2_2014",0,20,9,1,1,12,0,5,1,2,7,6,10
"Kent","South East","2014-06-01","Jun",2014,"Q2_2014",1,107,7,7,3,55,1,23,6,9,55,24,28
"Lancashire","North West","2014-06-01","Jun",2014,"Q2_2014",0,102,14,11,1,24,2,23,9,19,17,57,11
"Leicestershire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,33,2,5,5,26,0,3,5,15,2,17,8
"Lincolnshire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,19,2,0,0,17,0,3,0,13,1,23,2
"Merseyside","Mersey-Cheshire","2014-06-01","Jun",2014,"Q2_2014",1,80,5,2,1,22,7,9,13,24,22,35,16
"Metropolitan and City","Greater London","2014-06-01","Jun",2014,"Q2_2014",6,594,58,66,56,172,29,62,68,134,112,395,189
"Norfolk","East of England","2014-06-01","Jun",2014,"Q2_2014",0,46,5,3,0,15,3,7,5,10,7,9,13
"Northamptonshire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,27,1,3,0,16,0,10,5,14,2,12,13
"Northumbria","North East","2014-06-01","Jun",2014,"Q2_2014",0,117,7,9,7,73,7,17,13,53,41,44,6
"North Wales","Cymru/Wales","2014-06-01","Jun",2014,"Q2_2014",0,32,8,6,1,7,1,4,1,13,13,23,5
"North Yorkshire","Yorkshire and Humberside","2014-06-01","Jun",2014,"Q2_2014",0,19,1,6,0,14,3,2,1,10,5,8,13
"Nottinghamshire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,54,7,4,3,16,0,11,10,10,11,17,9
"South Wales","Cymru/Wales","2014-06-01","Jun",2014,"Q2_2014",0,93,12,5,2,14,4,3,11,22,7,43,12
"South Yorkshire","Yorkshire and Humberside","2014-06-01","Jun",2014,"Q2_2014",1,82,5,6,0,19,3,11,2,18,9,34,10
"Staffordshire","West Midlands","2014-06-01","Jun",2014,"Q2_2014",0,61,6,12,0,26,4,18,5,26,6,16,8
"Suffolk","East of England","2014-06-01","Jun",2014,"Q2_2014",0,25,1,4,1,5,0,0,1,4,0,12,7
"Surrey","South East","2014-06-01","Jun",2014,"Q2_2014",0,55,6,4,0,16,3,11,11,19,8,27,5
"Sussex","South East","2014-06-01","Jun",2014,"Q2_2014",0,64,11,6,2,27,2,11,6,21,13,17,13
"Thames Valley","Thames and Chiltern","2014-06-01","Jun",2014,"Q2_2014",4,114,13,10,1,33,3,14,16,26,11,53,30
"Warwickshire","West Midlands","2014-06-01","Jun",2014,"Q2_2014",0,9,4,2,2,4,3,6,1,1,1,30,8
"West Mercia","West Midlands","2014-06-01","Jun",2014,"Q2_2014",0,41,2,2,0,15,1,3,1,6,5,18,6
"West Midlands","West Midlands","2014-06-01","Jun",2014,"Q2_2014",0,208,13,29,14,32,2,19,20,29,21,56,36
"West Yorkshire","Yorkshire and Humberside","2014-06-01","Jun",2014,"Q2_2014",0,112,7,9,9,35,3,15,10,19,14,39,27
"Wiltshire","Oxfordshire","2014-06-01","Jun",2014,"Q2_2014",0,27,1,1,2,8,0,5,1,5,7,18,7
"Avon and Somerset","South West","2014-07-01","Jul",2014,"Q3_2014",0,56,21,1,5,29,3,9,2,21,12,56,44
"Bedfordshire","Thames and Chiltern","2014-07-01","Jul",2014,"Q3_2014",1,32,6,2,3,6,0,3,1,5,2,5,14
"Cambridgeshire","East of England","2014-07-01","Jul",2014,"Q3_2014",0,29,3,4,1,10,1,3,0,4,2,6,8
"Cheshire","Mersey-Cheshire","2014-07-01","Jul",2014,"Q3_2014",0,54,4,1,0,7,1,9,3,6,3,16,13
"Cleveland","North East","2014-07-01","Jul",2014,"Q3_2014",0,50,7,5,3,34,0,7,6,38,5,15,3
"Cumbria","North West","2014-07-01","Jul",2014,"Q3_2014",0,15,1,4,0,1,0,2,0,2,6,11,2
"Derbyshire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",0,59,2,3,1,21,4,11,5,10,7,22,6
"Devon and Cornwall","South West","2014-07-01","Jul",2014,"Q3_2014",0,53,1,7,0,7,4,12,3,10,19,15,11
"Dorset","Oxfordshire","2014-07-01","Jul",2014,"Q3_2014",0,38,3,5,1,6,0,6,2,7,6,9,22
"Durham","North East","2014-07-01","Jul",2014,"Q3_2014",0,25,3,5,1,17,3,14,2,11,3,7,3
"Dyfed Powys","Cymru/Wales","2014-07-01","Jul",2014,"Q3_2014",0,22,1,4,0,4,0,6,2,10,3,22,1
"Essex","East of England","2014-07-01","Jul",2014,"Q3_2014",0,62,14,7,4,13,2,13,4,11,12,19,13
"Gloucestershire","South West","2014-07-01","Jul",2014,"Q3_2014",0,20,0,2,0,10,0,4,3,2,3,9,21
"GreaterManchester","North West","2014-07-01","Jul",2014,"Q3_2014",0,180,22,18,4,35,0,20,14,35,23,45,52
"Gwent","Cymru/Wales","2014-07-01","Jul",2014,"Q3_2014",0,20,4,3,2,7,1,9,4,15,3,17,3
"Hampshire","Oxfordshire","2014-07-01","Jul",2014,"Q3_2014",2,127,8,11,8,39,9,21,5,24,16,40,26
"Hertfordshire","Thames and Chiltern","2014-07-01","Jul",2014,"Q3_2014",1,35,6,9,2,17,16,9,4,14,4,25,11
"Humberside","Yorkshire and Humberside","2014-07-01","Jul",2014,"Q3_2014",0,33,10,2,1,30,4,8,4,7,3,18,12
"Kent","South East","2014-07-01","Jul",2014,"Q3_2014",2,78,8,8,2,42,4,14,5,18,36,26,32
"Lancashire","North West","2014-07-01","Jul",2014,"Q3_2014",0,115,20,14,0,15,1,27,6,19,19,55,16
"Leicestershire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",0,33,1,8,0,15,4,4,0,10,3,18,8
"Lincolnshire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",0,50,3,2,3,15,1,7,2,10,8,31,11
"Merseyside","Mersey-Cheshire","2014-07-01","Jul",2014,"Q3_2014",0,70,4,6,3,22,2,15,18,22,16,35,19
"Metropolitan and City","Greater London","2014-07-01","Jul",2014,"Q3_2014",9,601,81,52,61,155,44,49,75,125,118,404,174
"Norfolk","East of England","2014-07-01","Jul",2014,"Q3_2014",2,62,3,5,1,19,1,8,0,12,5,14,7
"Northamptonshire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",0,52,3,8,2,19,5,10,3,10,2,10,7
"Northumbria","North East","2014-07-01","Jul",2014,"Q3_2014",0,128,7,10,5,59,6,35,19,54,24,40,17
"North Wales","Cymru/Wales","2014-07-01","Jul",2014,"Q3_2014",0,39,10,5,4,6,1,2,1,4,13,12,11
"North Yorkshire","Yorkshire and Humberside","2014-07-01","Jul",2014,"Q3_2014",0,26,0,1,2,22,0,6,5,10,4,16,7
"Nottinghamshire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",1,93,9,7,4,29,2,19,14,13,12,21,31
"South Wales","Cymru/Wales","2014-07-01","Jul",2014,"Q3_2014",0,126,14,3,8,17,1,15,7,22,13,61,9
"South Yorkshire","Yorkshire and Humberside","2014-07-01","Jul",2014,"Q3_2014",0,92,3,16,5,35,1,13,4,15,6,11,16
"Staffordshire","West Midlands","2014-07-01","Jul",2014,"Q3_2014",0,78,3,6,4,17,1,14,3,18,8,32,7
"Suffolk","East of England","2014-07-01","Jul",2014,"Q3_2014",0,25,1,1,1,7,0,2,2,5,4,11,6
"Surrey","South East","2014-07-01","Jul",2014,"Q3_2014",0,64,4,0,1,19,1,9,8,8,22,33,23
"Sussex","South East","2014-07-01","Jul",2014,"Q3_2014",0,83,15,6,2,18,0,16,5,20,26,37,17
"Thames Valley","Thames and Chiltern","2014-07-01","Jul",2014,"Q3_2014",0,136,13,10,8,26,3,7,10,25,7,45,53
"Warwickshire","West Midlands","2014-07-01","Jul",2014,"Q3_2014",0,16,4,3,0,4,0,0,1,9,5,17,3
"West Mercia","West Midlands","2014-07-01","Jul",2014,"Q3_2014",0,50,5,5,4,16,1,4,5,13,1,31,3
"West Midlands","West Midlands","2014-07-01","Jul",2014,"Q3_2014",4,203,22,26,26,80,7,24,24,42,45,87,14
"West Yorkshire","Yorkshire and Humberside","2014-07-01","Jul",2014,"Q3_2014",4,122,23,7,1,51,9,19,18,22,15,48,32
"Wiltshire","Oxfordshire","2014-07-01","Jul",2014,"Q3_2014",0,28,2,0,1,10,0,6,2,4,7,11,7
"Avon and Somerset","South West","2014-08-01","Aug",2014,"Q3_2014",1,52,7,3,1,19,1,7,6,14,9,38,17
"Bedfordshire","Thames and Chiltern","2014-08-01","Aug",2014,"Q3_2014",3,36,2,5,1,9,1,2,0,8,2,14,18
"Cambridgeshire","East of England","2014-08-01","Aug",2014,"Q3_2014",0,19,4,3,0,12,0,3,0,5,1,5,9
"Cheshire","Mersey-Cheshire","2014-08-01","Aug",2014,"Q3_2014",0,38,3,5,2,8,1,6,4,7,0,11,15
"Cleveland","North East","2014-08-01","Aug",2014,"Q3_2014",0,39,3,8,2,28,0,3,4,21,1,13,3
"Cumbria","North West","2014-08-01","Aug",2014,"Q3_2014",0,16,2,2,0,4,0,4,1,2,10,9,1
"Derbyshire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,43,8,1,3,7,2,8,4,10,7,5,15
"Devon and Cornwall","South West","2014-08-01","Aug",2014,"Q3_2014",0,46,1,2,0,22,0,11,4,14,19,13,11
"Dorset","Oxfordshire","2014-08-01","Aug",2014,"Q3_2014",0,26,2,2,1,9,0,2,0,5,8,14,16
"Durham","North East","2014-08-01","Aug",2014,"Q3_2014",0,25,3,7,1,16,1,10,0,8,2,4,1
"Dyfed Powys","Cymru/Wales","2014-08-01","Aug",2014,"Q3_2014",0,19,1,0,1,2,0,7,1,7,2,18,7
"Essex","East of England","2014-08-01","Aug",2014,"Q3_2014",0,55,10,1,0,14,5,13,5,5,8,18,14
"Gloucestershire","South West","2014-08-01","Aug",2014,"Q3_2014",0,9,0,0,0,8,1,5,2,4,2,6,14
"GreaterManchester","North West","2014-08-01","Aug",2014,"Q3_2014",0,153,24,2,5,38,5,26,13,28,21,72,51
"Gwent","Cymru/Wales","2014-08-01","Aug",2014,"Q3_2014",0,18,3,0,0,7,0,1,0,6,4,14,1
"Hampshire","Oxfordshire","2014-08-01","Aug",2014,"Q3_2014",0,111,11,4,1,21,7,20,5,12,13,36,15
"Hertfordshire","Thames and Chiltern","2014-08-01","Aug",2014,"Q3_2014",0,39,3,4,1,20,6,9,4,17,5,18,13
"Humberside","Yorkshire and Humberside","2014-08-01","Aug",2014,"Q3_2014",0,50,13,4,2,25,1,12,5,15,6,16,17
"Kent","South East","2014-08-01","Aug",2014,"Q3_2014",0,54,8,6,1,37,6,12,7,19,31,23,53
"Lancashire","North West","2014-08-01","Aug",2014,"Q3_2014",0,113,13,9,3,28,2,21,5,18,10,42,3
"Leicestershire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,36,4,0,1,14,1,2,4,9,1,15,9
"Lincolnshire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,17,2,6,0,11,0,5,2,6,8,26,7
"Merseyside","Mersey-Cheshire","2014-08-01","Aug",2014,"Q3_2014",0,69,4,3,4,24,2,15,10,13,8,28,32
"Metropolitan and City","Greater London","2014-08-01","Aug",2014,"Q3_2014",5,516,57,45,57,176,29,43,79,131,117,339,184
"Norfolk","East of England","2014-08-01","Aug",2014,"Q3_2014",0,46,2,4,3,8,1,5,0,11,9,18,7
"Northamptonshire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,35,0,8,3,12,5,12,3,8,4,11,10
"Northumbria","North East","2014-08-01","Aug",2014,"Q3_2014",0,91,6,11,0,60,1,23,14,57,18,52,10
"North Wales","Cymru/Wales","2014-08-01","Aug",2014,"Q3_2014",0,28,6,0,0,5,3,2,1,5,4,13,5
"North Yorkshire","Yorkshire and Humberside","2014-08-01","Aug",2014,"Q3_2014",1,31,2,2,1,20,3,7,7,7,7,8,10
"Nottinghamshire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,63,2,5,3,22,2,8,5,13,4,13,16
"South Wales","Cymru/Wales","2014-08-01","Aug",2014,"Q3_2014",0,110,10,9,8,18,1,13,13,25,5,56,18
"South Yorkshire","Yorkshire and Humberside","2014-08-01","Aug",2014,"Q3_2014",0,57,2,8,3,15,4,11,9,11,5,11,13
"Staffordshire","West Midlands","2014-08-01","Aug",2014,"Q3_2014",0,65,3,4,0,8,6,10,5,16,4,28,3
"Suffolk","East of England","2014-08-01","Aug",2014,"Q3_2014",0,29,1,4,3,5,0,1,5,3,2,7,8
"Surrey","South East","2014-08-01","Aug",2014,"Q3_2014",1,54,9,3,1,16,4,6,8,20,21,21,15
"Sussex","South East","2014-08-01","Aug",2014,"Q3_2014",0,62,11,6,3,18,1,9,9,24,21,20,11
"Thames Valley","Thames and Chiltern","2014-08-01","Aug",2014,"Q3_2014",0,146,9,13,4,43,5,9,8,15,5,58,30
"Warwickshire","West Midlands","2014-08-01","Aug",2014,"Q3_2014",0,12,2,1,0,6,0,2,2,3,4,14,1
"West Mercia","West Midlands","2014-08-01","Aug",2014,"Q3_2014",0,39,4,5,2,15,4,9,0,11,5,34,3
"West Midlands","West Midlands","2014-08-01","Aug",2014,"Q3_2014",1,205,19,15,17,55,11,21,18,23,25,53,14
"West Yorkshire","Yorkshire and Humberside","2014-08-01","Aug",2014,"Q3_2014",2,151,11,23,2,74,10,25,17,30,12,70,31
"Wiltshire","Oxfordshire","2014-08-01","Aug",2014,"Q3_2014",0,10,3,4,0,7,0,6,0,1,4,10,5
"Avon and Somerset","South West","2014-09-01","Sep",2014,"Q3_2014",0,71,16,6,1,18,1,10,5,12,13,47,26
"Bedfordshire","Thames and Chiltern","2014-09-01","Sep",2014,"Q3_2014",0,22,5,1,0,8,0,4,3,4,3,8,11
"Cambridgeshire","East of England","2014-09-01","Sep",2014,"Q3_2014",0,18,1,2,1,8,1,2,2,7,7,5,11
"Cheshire","Mersey-Cheshire","2014-09-01","Sep",2014,"Q3_2014",0,54,2,3,1,16,2,5,5,11,10,18,6
"Cleveland","North East","2014-09-01","Sep",2014,"Q3_2014",0,38,3,4,1,22,0,7,8,27,5,18,4
"Cumbria","North West","2014-09-01","Sep",2014,"Q3_2014",0,21,0,3,0,4,2,0,1,6,10,9,3
"Derbyshire","East Midlands","2014-09-01","Sep",2014,"Q3_2014",0,52,1,5,3,17,2,11,5,6,14,16,7
"Devon and Cornwall","South West","2014-09-01","Sep",2014,"Q3_2014",0,66,1,2,1,11,1,5,8,19,15,11,13
"Dorset","Oxfordshire","2014-09-01","Sep",2014,"Q3_2014",0,29,3,1,0,13,2,1,1,10,9,10,5
"Durham","North East","2014-09-01","Sep",2014,"Q3_2014",0,38,2,4,2,20,1,7,1,12,5,7,2
"Dyfed Powys","Cymru/Wales","2014-09-01","Sep",2014,"Q3_2014",0,22,2,0,0,12,0,3,2,14,1,19,3
"Essex","East of England","2014-09-01","Sep",2014,"Q3_2014",0,59,15,10,2,18,3,7,7,10,12,19,25
"Gloucestershire","South West","2014-09-01","Sep",2014,"Q3_2014",0,37,0,1,0,7,1,4,1,2,9,4,7
"GreaterManchester","North West","2014-09-01","Sep",2014,"Q3_2014",0,206,28,14,13,43,3,24,13,31,38,54,47
"Gwent","Cymru/Wales","2014-09-01","Sep",2014,"Q3_2014",0,17,0,5,0,3,0,6,5,9,6,9,9
"Hampshire","Oxfordshire","2014-09-01","Sep",2014,"Q3_2014",0,105,16,7,0,30,5,14,10,18,25,31,31
"Hertfordshire","Thames and Chiltern","2014-09-01","Sep",2014,"Q3_2014",0,36,2,5,8,15,4,5,7,22,3,19,23
"Humberside","Yorkshire and Humberside","2014-09-01","Sep",2014,"Q3_2014",0,43,9,13,5,30,5,15,2,15,6,18,12
"Kent","South East","2014-09-01","Sep",2014,"Q3_2014",0,89,14,7,1,54,3,18,7,23,29,30,30
"Lancashire","North West","2014-09-01","Sep",2014,"Q3_2014",0,125,12,12,1,20,2,19,5,21,14,49,24
"Leicestershire","East Midlands","2014-09-01","Sep",2014,"Q3_2014",0,40,2,9,4,9,1,5,4,8,2,18,7
"Lincolnshire","East Midlands","2014-09-01","Sep",2014,"Q3_2014",0,18,1,3,0,17,0,1,2,13,7,20,7
"Merseyside","Mersey-Cheshire","2014-09-01","Sep",2014,"Q3_2014",0,112,12,7,5,31,1,15,14,34,21,26,30
"Metropolitan and City","Greater London","2014-09-01","Sep",2014,"Q3_2014",4,548,70,66,52,150,23,58,75,136,92,431,211
"Norfolk","East of England","2014-09-01","Sep",2014,"Q3_2014",0,46,3,3,0,20,0,5,7,13,6,11,10
"Northamptonshire","East Midlands","2014-09-01","Sep",2014,"Q3_2014",0,30,5,5,0,18,5,6,3,6,8,11,7
"Northumbria","North East","2014-09-01","Sep",2014,"Q3_2014",0,154,9,8,4,51,1,22,15,60,23,41,15
"North Wales","Cymru/Wales","2014-09-01","Sep",2014,"Q3_2014",0,35,6,5,0,14,1,4,1,5,10,18,2
"North Yorkshire","Yorkshire and Humberside","2014-09-01","Sep",2014,"Q3_2014",0,50,1,8,1,18,3,3,3,15,8,16,12
"Nottinghamshire","East Midlands","2014-09-01","Sep",2014,"Q3_2014",1,95,4,3,5,25,1,18,6,16,16,26,21
"South Wales","Cymru/Wales","2014-09-01","Sep",2014,"Q3_2014",0,101,8,7,2,16,0,9,4,18,6,34,20
"South Yorkshire","Yorkshire and Humberside","2014-09-01","Sep",2014,"Q3_2014",0,98,3,7,4,31,6,17,6,15,5,26,17
"Staffordshire","West Midlands","2014-09-01","Sep",2014,"Q3_2014",0,83,3,6,4,15,6,11,7,19,9,23,10
"Suffolk","East of England","2014-09-01","Sep",2014,"Q3_2014",0,24,0,4,4,3,3,4,1,9,5,11,4
"Surrey","South East","2014-09-01","Sep",2014,"Q3_2014",0,54,4,9,4,17,4,9,9,16,29,26,10
"Sussex","South East","2014-09-01","Sep",2014,"Q3_2014",0,78,11,7,3,27,2,15,8,21,22,27,11
"Thames Valley","Thames and Chiltern","2014-09-01","Sep",2014,"Q3_2014",3,119,11,7,6,30,4,8,9,21,2,44,40
"Warwickshire","West Midlands","2014-09-01","Sep",2014,"Q3_2014",0,16,1,1,0,3,0,0,1,8,3,14,2
"West Mercia","West Midlands","2014-09-01","Sep",2014,"Q3_2014",0,50,1,2,1,12,2,6,8,15,1,24,2
"West Midlands","West Midlands","2014-09-01","Sep",2014,"Q3_2014",0,166,10,19,37,65,9,13,7,32,34,47,17
"West Yorkshire","Yorkshire and Humberside","2014-09-01","Sep",2014,"Q3_2014",0,168,34,23,11,51,3,17,20,37,10,63,32
"Wiltshire","Oxfordshire","2014-09-01","Sep",2014,"Q3_2014",0,18,5,3,1,6,0,6,2,5,5,5,7
"Avon and Somerset","South West","2014-10-01","Oct",2014,"Q4_2014",0,73,20,4,1,18,1,5,8,14,18,54,28
"Bedfordshire","Thames and Chiltern","2014-10-01","Oct",2014,"Q4_2014",0,33,5,2,3,6,2,7,4,2,4,14,16
"Cambridgeshire","East of England","2014-10-01","Oct",2014,"Q4_2014",0,21,2,4,2,14,0,2,1,7,3,21,12
"Cheshire","Mersey-Cheshire","2014-10-01","Oct",2014,"Q4_2014",0,50,4,6,1,14,5,7,5,9,3,13,2
"Cleveland","North East","2014-10-01","Oct",2014,"Q4_2014",0,32,2,8,0,23,2,17,9,18,14,21,3
"Cumbria","North West","2014-10-01","Oct",2014,"Q4_2014",0,16,1,2,0,5,0,11,3,7,5,9,2
"Derbyshire","East Midlands","2014-10-01","Oct",2014,"Q4_2014",0,58,5,4,3,13,3,13,1,12,16,12,12
"Devon and Cornwall","South West","2014-10-01","Oct",2014,"Q4_2014",0,64,0,3,3,10,2,10,3,6,19,22,16
"Dorset","Oxfordshire","2014-10-01","Oct",2014,"Q4_2014",0,28,4,0,6,7,2,1,2,5,6,10,1
"Durham","North East","2014-10-01","Oct",2014,"Q4_2014",0,23,7,5,0,23,1,7,3,9,4,10,2
"Dyfed Powys","Cymru/Wales","2014-10-01","Oct",2014,"Q4_2014",0,31,1,4,0,5,1,4,4,8,2,21,10
"Essex","East of England","2014-10-01","Oct",2014,"Q4_2014",0,65,15,8,6,18,2,13,9,14,13,31,17
"Gloucestershire","South West","2014-10-01","Oct",2014,"Q4_2014",0,17,0,1,0,13,0,1,1,3,1,10,6
"GreaterManchester","North West","2014-10-01","Oct",2014,"Q4_2014",1,186,32,10,4,36,4,18,17,31,31,45,66
"Gwent","Cymru/Wales","2014-10-01","Oct",2014,"Q4_2014",0,32,7,1,1,10,1,4,1,8,6,27,4
"Hampshire","Oxfordshire","2014-10-01","Oct",2014,"Q4_2014",0,106,14,10,0,29,9,23,10,16,17,44,15
"Hertfordshire","Thames and Chiltern","2014-10-01","Oct",2014,"Q4_2014",0,78,2,5,2,32,3,6,6,13,8,27,23
"Humberside","Yorkshire and Humberside","2014-10-01","Oct",2014,"Q4_2014",0,26,19,6,0,10,0,3,1,10,2,8,9
"Kent","South East","2014-10-01","Oct",2014,"Q4_2014",1,93,4,16,1,57,5,15,11,15,30,29,29
"Lancashire","North West","2014-10-01","Oct",2014,"Q4_2014",1,106,13,5,2,22,3,9,5,19,19,45,28
"Leicestershire","East Midlands","2014-10-01","Oct",2014,"Q4_2014",0,29,4,6,0,16,2,8,5,15,6,8,10
"Lincolnshire","East Midlands","2014-10-01","Oct",2014,"Q4_2014",0,20,2,3,0,18,1,4,3,12,8,23,2
"Merseyside","Mersey-Cheshire","2014-10-01","Oct",2014,"Q4_2014",0,51,8,3,3,23,1,7,15,34,18,28,21
"Metropolitan and City","Greater London","2014-10-01","Oct",2014,"Q4_2014",1,642,81,63,50,182,31,50,90,140,129,357,210
"Norfolk","East of England","2014-10-01","Oct",2014,"Q4_2014",0,30,1,4,4,12,1,3,8,8,4,10,9
"Northamptonshire","East Midlands","2014-10-01","Oct",2014,"Q4_2014",0,26,1,3,2,15,3,7,2,9,2,16,16
"Northumbria","North East","2014-10-01","Oct",2014,"Q4_2014",0,161,13,9,1,56,6,41,11,68,20,58,10
"North Wales","Cymru/Wales","2014-10-01","Oct",2014,"Q4_2014",0,28,8,2,1,11,0,9,2,4,10,10,4
"North Yorkshire","Yorkshire and Humberside","2014-10-01","Oct",2014,"Q4_2014",0,20,0,4,2,19,1,10,4,18,3,8,4
"Nottinghamshire","East Midlands","2014-10-01","Oct",2014,"Q4_2014",1,76,4,8,4,19,0,11,14,14,20,10,29
"South Wales","Cymru/Wales","2014-10-01","Oct",2014,"Q4_2014",0,151,8,15,2,32,3,19,12,37,17,111,22
"South Yorkshire","Yorkshire and Humberside","2014-10-01","Oct",2014,"Q4_2014",1,54,4,7,1,18,1,14,3,17,6,8,13
"Staffordshire","West Midlands","2014-10-01","Oct",2014,"Q4_2014",0,75,5,4,5,20,0,7,8,7,9,34,2
"Suffolk","East of England","2014-10-01","Oct",2014,"Q4_2014",0,31,0,1,0,12,1,4,3,7,1,8,13
"Surrey","South East","2014-10-01","Oct",2014,"Q4_2014",0,88,7,5,3,33,9,17,8,19,29,28,14
"Sussex","South East","2014-10-01","Oct",2014,"Q4_2014",0,73,11,6,2,18,6,13,4,18,21,37,25
"Thames Valley","Thames and Chiltern","2014-10-01","Oct",2014,"Q4_2014",0,144,14,12,5,40,7,14,12,26,9,63,43
"Warwickshire","West Midlands","2014-10-01","Oct",2014,"Q4_2014",0,23,2,7,0,3,1,0,0,5,4,27,0
"West Mercia","West Midlands","2014-10-01","Oct",2014,"Q4_2014",0,54,6,1,1,17,0,7,1,16,9,27,4
"West Midlands","West Midlands","2014-10-01","Oct",2014,"Q4_2014",0,203,15,25,19,64,2,21,17,24,39,75,9
"West Yorkshire","Yorkshire and Humberside","2014-10-01","Oct",2014,"Q4_2014",2,121,19,15,3,27,9,19,19,26,12,43,26
"Wiltshire","Oxfordshire","2014-10-01","Oct",2014,"Q4_2014",0,33,7,3,1,5,2,4,1,7,6,11,2
"Avon and Somerset","South West","2014-11-01","Nov",2014,"Q4_2014",0,72,13,2,1,15,4,7,9,17,17,42,19
"Bedfordshire","Thames and Chiltern","2014-11-01","Nov",2014,"Q4_2014",0,44,1,2,3,21,1,4,1,6,2,10,16
"Cambridgeshire","East of England","2014-11-01","Nov",2014,"Q4_2014",0,17,2,0,0,17,0,4,4,5,6,8,6
"Cheshire","Mersey-Cheshire","2014-11-01","Nov",2014,"Q4_2014",1,44,0,3,0,12,1,4,2,9,9,6,11
"Cleveland","North East","2014-11-01","Nov",2014,"Q4_2014",0,38,3,4,0,18,0,7,2,23,3,11,1
"Cumbria","North West","2014-11-01","Nov",2014,"Q4_2014",0,20,0,0,0,3,1,2,1,6,9,17,2
"Derbyshire","East Midlands","2014-11-01","Nov",2014,"Q4_2014",0,63,4,12,5,23,1,6,5,11,6,16,6
"Devon and Cornwall","South West","2014-11-01","Nov",2014,"Q4_2014",5,56,1,1,0,8,0,8,5,9,11,13,15
"Dorset","Oxfordshire","2014-11-01","Nov",2014,"Q4_2014",0,30,4,2,2,8,0,3,1,3,6,5,7
"Durham","North East","2014-11-01","Nov",2014,"Q4_2014",0,28,2,2,0,11,0,5,0,14,11,3,3
"Dyfed Powys","Cymru/Wales","2014-11-01","Nov",2014,"Q4_2014",0,31,1,4,0,11,1,3,2,3,2,19,4
"Essex","East of England","2014-11-01","Nov",2014,"Q4_2014",1,74,17,4,3,24,5,13,6,12,7,31,17
"Gloucestershire","South West","2014-11-01","Nov",2014,"Q4_2014",0,11,2,0,3,2,0,6,2,3,2,4,7
"GreaterManchester","North West","2014-11-01","Nov",2014,"Q4_2014",2,136,27,8,6,29,1,17,15,22,22,53,49
"Gwent","Cymru/Wales","2014-11-01","Nov",2014,"Q4_2014",0,22,1,3,0,4,1,1,3,2,4,7,7
"Hampshire","Oxfordshire","2014-11-01","Nov",2014,"Q4_2014",0,86,14,10,3,18,3,6,11,22,7,38,16
"Hertfordshire","Thames and Chiltern","2014-11-01","Nov",2014,"Q4_2014",0,67,0,6,2,27,0,8,6,8,3,41,16
"Humberside","Yorkshire and Humberside","2014-11-01","Nov",2014,"Q4_2014",0,28,9,4,4,13,2,3,7,7,1,20,12
"Kent","South East","2014-11-01","Nov",2014,"Q4_2014",0,104,11,13,1,55,8,26,10,15,33,37,43
"Lancashire","North West","2014-11-01","Nov",2014,"Q4_2014",0,110,17,5,2,12,2,18,4,20,24,35,15
"Leicestershire","East Midlands","2014-11-01","Nov",2014,"Q4_2014",0,37,8,1,1,7,3,7,5,12,1,17,12
"Lincolnshire","East Midlands","2014-11-01","Nov",2014,"Q4_2014",0,29,2,1,0,7,1,2,3,5,6,33,9
"Merseyside","Mersey-Cheshire","2014-11-01","Nov",2014,"Q4_2014",0,77,5,4,5,18,2,7,12,31,14,27,28
